Video_ID,Category_ID,Image_Name,Video_Title,Video_Description,Location,Fishing_Method,Fish_Species,Broadcast_Date,Is_Pro_Course
1001,1,samurai_battle_1,自らの力で、巨魚との壮絶な戦い,甲冑を着た武士が、己の力を信じて巨大な魚と格闘。巨大な魚が跳ねるたびに、戦士は全力で対応し続ける。,富士の渓流,竿を使って釣る,巨大魚,2025-04-01,1
1002,1,golden_armor_fight,黄金の甲冑と巨大魚の壮絶なる一戦,黄金の甲冑を身にまとった武士が、針にかかった巨大な魚と息を呑む戦いを繰り広げる。強靭な心と力が試される。,鋼池（こうち）,リールを使う,巨大魚,2025-04-01,1
1003,1,red_seabream01,海神の舞・真鯛の一閃,海の深奥で静かに閃く朱色の光。真鯛の泳ぎは、神話に語られる海神の一閃を想起させる。,広島・瀬戸内海,鑑賞専用,真鯛,2025-04-01,
1004,1,samurai_jump_1,巨魚の跳躍に挑む侍,甲冑を着た武士が、かかった巨大魚が飛び跳ねた瞬間にすかさず対応。生死を分けるスリル満点の一瞬。,白川郷の池,竿を使って釣る,鯉,2025-04-01,1
1005,1,samurai_catch,魚との死闘、必死のキャッチ,逃げる巨大魚を逃すまいと、必死でキャッチしようとする武士。運命をかけた瞬間、力が試される。,鉄冥の渓流,竿を使って釣る,鯉,2025-04-01,1
1006,1,squid_swim01,深海を舞う影・イカの剣舞,深海に舞う孤高の影。その動きはまるで刀を振るう剣士。静謐の海で繰り広げられる剣舞。,沖縄の海,鑑賞専用,イカ,2025-04-01,
1007,1,seabass_swim,水の貴公子・スズキの疾走,光差す水の舞台を、優雅に駆けるその姿。気品と力を兼ね備えた水の貴公子、スズキの一幕。,神奈川・相模湾,鑑賞専用,スズキ,2025-04-01,
1008,1,samurai_fishjumpdanger,怪物魚、空を飛ぶ！武士の危機,巨大魚が宙に舞い、甲冑侍に襲いかかる！釣れたと思った瞬間が、命の危機に変わる。緊迫のジャンプシーンに注目。,富士の渓流下流,投げ釣り,鯉（推定）,2025-04-01,1
1009,1,koi_topview01,水の侍・鯉たちの静なる巡礼,悠々と泳ぐ三匹の鯉。その姿は、静かなる誓いを胸に水底を往く旅僧のような侍たち。,京都・庭園の池,鑑賞専用,鯉,2025-04-01,
1010,1,koi_surface01,鯉の口上・語られぬ水辺の誓い,水面に揺れる口の動き。その一瞬に、語られぬ誓いと水辺の歴史が刻まれているように思える。,奈良・古池,鑑賞専用,鯉,2025-04-01,
1011,1,squid_group01,戦列を組む静かなる戦士たち,無音の世界で整列し、揺らぎと共に進むイカの軍勢。水の中の隊列が静かに語る戦士の絆。,三重県・熊野灘,鑑賞専用,イカ,2025-04-01,
1012,1,samurai_carpjump,巨大魚跳ねる、武士の冷静な一手,釣り上げた巨大魚が突然宙を舞い、武士の目前へ！驚きながらも即座に体勢を整え、巧みにいなすその姿は見応え抜群。,鋼池,投げ釣り,ブラックバス,2025-04-01,1
1013,1,pufferfish_swim,小さき毒剣士・フグの警告,無垢な表情に潜む毒。可憐な泳ぎの奥にあるのは、油断を許さぬ小さき剣士の誇り。,千葉・房総沖,鑑賞専用,フグ,2025-04-01,
1014,1,black_armor_reel,黒鎧の武士、リールで決戦の時,黒の甲冑を着た武士が、リールで魚を巻き上げる瞬間。強烈な引きに、思わず息を呑む。,信濃川の渓流,リールを使う,鯉,2025-04-01,1
1015,1,piranha_swarm,食の修羅・ピラニアの群れ,緊張が張りつめる水中。俊敏に動く無数の群れは、飢えと本能に突き動かされる修羅たちの舞。,アマゾン川,鑑賞専用,ピラニア,2025-04-01,
2001,2,samurai_battle_1,自らの力で、巨魚との壮絶な戦い,甲冑を着た武士が、己の力を信じて巨大な魚と格闘。巨大な魚が跳ねるたびに、戦士は全力で対応し続ける。,富士の渓流,竿を使って釣る,巨大魚,2025-04-30,1
2002,2,golden_armor_fight,黄金の甲冑と巨大魚の壮絶なる一戦,黄金の甲冑を身にまとった武士が、針にかかった巨大な魚と息を呑む戦いを繰り広げる。強靭な心と力が試される。,鋼池（こうち）,リールを使う,巨大魚,2025-04-30,1
2003,2,black_armor_reel,黒鎧の武士、リールで決戦の時,黒の甲冑を着た武士が、リールで魚を巻き上げる瞬間。強烈な引きに、思わず息を呑む。,信濃川の渓流,リールを使う,鯉,2025-04-01,1
2004,2,samurai_jump_1,巨魚の跳躍に挑む侍,甲冑を着た武士が、かかった巨大魚が飛び跳ねた瞬間にすかさず対応。生死を分けるスリル満点の一瞬。,白川郷の池,竿を使って釣る,鯉,2025-04-30,1
2005,2,samurai_catch,魚との死闘、必死のキャッチ,逃げる巨大魚を逃すまいと、必死でキャッチしようとする武士。運命をかけた瞬間、力が試される。,鉄冥の渓流,竿を使って釣る,鯉,2025-04-01,1
2006,2,samurai_carpjump,巨大魚跳ねる、武士の冷静な一手,釣り上げた巨大魚が突然宙を舞い、武士の目前へ！驚きながらも即座に体勢を整え、巧みにいなすその姿は見応え抜群。,鋼池,投げ釣り,ブラックバス,2025-04-30,1
2007,2,samurai_namazufight,死闘、そして勝利の引き上げ,腰まで水に浸かりながら、執念で巨大魚との戦いに挑む武士。最後は力を振り絞り、水面まで引き上げる渾身のシーン。,信濃川の渓流,フライフィッシング,ナマズ,2025-04-01,1
2008,2,samurai_boatbigcatch,船上の激闘、巻け！未知の大物,小舟の上でリールが鳴る。何がかかったのかは不明…ただ一つ言えるのは、武士の全力が試される相手だということ。,白鷺の泉,リール釣り,未知の魚,2025-04-01,1
2009,2,samurai_underchase,鎧をまとい、水中追跡！,釣り竿を持った武士が、水中に飛び込みかかった魚を追う！甲冑を着てなお素早く、まるで水中の戦士のよう。,鋼池,追い釣り,不明,2025-04-30,1
2010,2,samurai_fishjumpdanger,怪物魚、空を飛ぶ！武士の危機,巨大魚が宙に舞い、甲冑侍に襲いかかる！釣れたと思った瞬間が、命の危機に変わる。緊迫のジャンプシーンに注目。,富士の渓流下流,投げ釣り,鯉（推定）,2025-04-30,1
3001,3,squid_swim01,深海を舞う影・イカの剣舞,深海に舞う孤高の影。その動きはまるで刀を振るう剣士。静謐の海で繰り広げられる剣舞。,沖縄の海,鑑賞専用,イカ,2025-04-30,
3002,3,squid_group01,戦列を組む静かなる戦士たち,無音の世界で整列し、揺らぎと共に進むイカの軍勢。水の中の隊列が静かに語る戦士の絆。,三重県・熊野灘,鑑賞専用,イカ,2025-04-01,
3003,3,sardines_swarm,銀河の軍勢・イワシの乱舞,水面を銀色に染める無数の光。連携して舞うその様は、まさに銀河の戦士たちの演武である。,静岡・駿河湾,鑑賞専用,イワシ,2025-04-30,
3004,3,koi_topview01,水の侍・鯉たちの静なる巡礼,悠々と泳ぐ三匹の鯉。その姿は、静かなる誓いを胸に水底を往く旅僧のような侍たち。,京都・庭園の池,鑑賞専用,鯉,2025-04-01,
3005,3,koi_surface01,鯉の口上・語られぬ水辺の誓い,水面に揺れる口の動き。その一瞬に、語られぬ誓いと水辺の歴史が刻まれているように思える。,奈良・古池,鑑賞専用,鯉,2025-04-01,
3006,3,red_seabream01,海神の舞・真鯛の一閃,海の深奥で静かに閃く朱色の光。真鯛の泳ぎは、神話に語られる海神の一閃を想起させる。,広島・瀬戸内海,鑑賞専用,真鯛,2025-04-01,
3007,3,grouper_sideview,海底の巨兵・クエの威風,巨体を揺らし、静かに進むその姿はまさに水底を守る古の巨兵。その眼差しに威厳が宿る。,鹿児島・奄美沖,鑑賞専用,クエ,2025-04-30,
3008,3,pufferfish_swim,小さき毒剣士・フグの警告,無垢な表情に潜む毒。可憐な泳ぎの奥にあるのは、油断を許さぬ小さき剣士の誇り。,千葉・房総沖,鑑賞専用,フグ,2025-04-01,
3009,3,seabass_swim,水の貴公子・スズキの疾走,光差す水の舞台を、優雅に駆けるその姿。気品と力を兼ね備えた水の貴公子、スズキの一幕。,神奈川・相模湾,鑑賞専用,スズキ,2025-04-30,
3010,3,piranha_swarm,食の修羅・ピラニアの群れ,緊張が張りつめる水中。俊敏に動く無数の群れは、飢えと本能に突き動かされる修羅たちの舞。,アマゾン川,鑑賞専用,ピラニア,2025-04-01,
4001,4,video_a01,せっしゃと花の釣修行,釣り修行のひと刻、せっしゃの心が花のように舞う,花咲池,浮き釣り,フナ,2025-04-30,
